buurtcode,reachable_buurten_10min,avg_bike_minutes_to_reachable,avg_bike_distance_to_reachable,bikeshed_total_amenities,bikeshed_utilitarian_amenities,bikeshed_leisure_social_amenities
BU17000101,8,5.43125,1622.1399999999999,76.0,48.0,28.0
BU17300809,12,5.375833333333333,1560.2050000000002,84.0,60.0,24.0
BU17301009,3,3.9133333333333336,1171.6766666666665,8.0,8.0,0.0
BU17420505,6,6.829999999999999,1636.5283333333334,37.0,25.0,12.0
BU17830113,19,5.47,1589.5384210526317,134.0,99.0,35.0
BU18760209,2,0.635,192.075,33.0,19.0,14.0
BU18910202,6,6.323333333333333,1691.0116666666665,33.0,23.0,10.0
BU18910309,2,1.9,511.385,9.0,8.0,1.0
BU19040216,12,5.8741666666666665,1578.3425,69.0,47.0,22.0
BU19310011,2,4.695,788.02,11.0,6.0,5.0
BU19420005,38,5.0600000000000005,1457.4573684210525,246.0,169.0,77.0
BU19480219,21,5.2280952380952375,1549.607142857143,130.0,82.0,48.0
BU19520801,7,6.178571428571429,1836.73,28.0,24.0,4.0
BU19590391,4,4.25,1276.5,28.0,19.0,9.0
BU19660303,5,3.368,1017.734,26.0,18.0,8.0
BU19801303,9,6.776666666666666,1079.3122222222223,55.0,44.0,11.0
BU19910106,19,5.463684210526316,1584.4847368421053,166.0,97.0,69.0
BU00141402,1,0.0,0.0,2.0,2.0,0.0
BU00141405,7,6.281428571428571,1834.8342857142857,18.0,18.0,0.0
BU00341801,60,6.303333333333332,1840.885166666667,355.0,246.0,109.0
BU00342902,55,6.3563636363636355,1750.2745454545452,327.0,230.0,97.0
BU00344505,37,6.525135135135134,1687.2397297297302,181.0,141.0,40.0
BU00850502,2,1.135,340.02,6.0,6.0,0.0
BU00850602,9,2.703333333333333,714.6277777777777,49.0,35.0,14.0
BU01060709,25,5.6988,1594.9284000000002,127.0,97.0,30.0
BU01060715,32,6.676875,1949.8625000000004,175.0,133.0,42.0
BU01470101,3,3.2933333333333334,990.5766666666667,25.0,12.0,13.0
BU01630606,19,6.276842105263158,1816.1189473684212,119.0,85.0,34.0
BU01630900,6,5.666666666666667,1694.9833333333333,52.0,36.0,16.0
BU01830609,2,3.245,776.865,18.0,9.0,9.0
BU02022194,9,5.343333333333334,1426.6966666666667,126.0,81.0,45.0
BU02130603,11,4.668181818181818,1335.8,65.0,43.0,22.0
BU02287051,2,4.17,1251.98,15.0,10.0,5.0
BU02520109,8,6.0025,1738.2975000000001,34.0,27.0,7.0
BU02740902,12,6.758333333333333,1701.7058333333334,84.0,55.0,29.0
BU03100901,11,5.590909090909091,1609.6645454545455,104.0,59.0,45.0
BU03211341,40,6.0120000000000005,1750.4582500000001,183.0,147.0,36.0
BU03270201,10,6.407000000000001,1818.979,70.0,45.0,25.0
BU03401302,6,4.170000000000001,927.75,40.0,28.0,12.0
BU04200702,9,7.122222222222224,2099.342222222222,47.0,35.0,12.0
BU04847010,15,5.814666666666666,1606.4113333333335,102.0,73.0,29.0
BU04893163,28,7.478571428571427,2204.3564285714283,123.0,93.0,30.0
