buurtcode,klasse_apotheek,klasse_basisschool,klasse_bushalte,klasse_fastfood,klasse_horeca,klasse_huisarts,klasse_kinderopvang,klasse_kledingwinkel,klasse_restaurant,klasse_sportterrein,klasse_supermarkt,klasse_treinstation,klasse_voortgezet_onderwijs,klasse_ziekenhuis,aantal_drinkwaterpunt,utilitarian_amenities,leisure_social_amenities,total_amenities
BU08240501,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08240601,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08240701,2.0,2.0,2,2.0,2.0,2.0,2,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0,11.0,9.0,20.0
BU08240801,0.0,2.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,5.0
BU08240802,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08240803,0.0,0.0,2,2.0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,4.0,7.0
BU08240901,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,3.0
BU08240902,0.0,0.0,1,0.0,2.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,2.0,4.0,6.0
BU08240903,0.0,1.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,5.0
BU08240904,0.0,1.0,1,0.0,1.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,4.0,2.0,6.0
BU08241001,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08241102,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08241103,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08241104,0.0,1.0,2,2.0,2.0,0.0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,5.0,6.0,11.0
BU08241201,0.0,0.0,1,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1,3.0,3.0,6.0
BU08241301,0.0,0.0,2,1.0,2.0,0.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,5.0,4.0,9.0
BU08241302,0.0,0.0,2,2.0,2.0,0.0,1,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1,5.0,9.0,14.0
BU08241402,0.0,0.0,2,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,1.0,5.0
BU08241501,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08241601,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08241701,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0
BU08241801,0.0,0.0,1,0.0,2.0,0.0,1,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0,3.0,5.0,8.0
BU08241901,2.0,0.0,1,0.0,0.0,2.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,7.0,1.0,8.0
BU08242001,0.0,0.0,2,0.0,2.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,4.0,3.0,7.0
BU08242002,1.0,2.0,2,1.0,2.0,2.0,2,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0,11.0,6.0,17.0
BU08242003,0.0,0.0,1,1.0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,3.0,5.0
BU08242004,0.0,0.0,2,0.0,2.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,3.0,4.0,7.0
BU08242005,0.0,0.0,2,0.0,2.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0,6.0
BU08260000,1.0,2.0,2,2.0,2.0,2.0,2,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2,11.0,10.0,21.0
BU08260100,0.0,0.0,1,0.0,2.0,0.0,1,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0,4.0,3.0,7.0
