buurtcode,buurtnaam,gemeente,a_inw,elderly_share,bikeshed_utilitarian_amenities,bikeshed_leisure_social_amenities,elderly_amenity_priority_score
BU07700006,Molenveld en Schadewijk,Eersel,150,0.2333333333333333,44.0,14.0,0.6217896641116023
BU08480001,De Gentiaan,Son en Breugel,4365,0.2038946162657502,34.0,17.0,0.6212070380242323
BU17240609,Buitengebied Zuid 1,Bergeijk,475,0.1894736842105263,34.0,10.0,0.6211763701201753
BU08470402,Ambachten,Someren,95,0.0526315789473684,0.0,0.0,0.6210526315789474
BU17280309,Verspreide huizen Hoogeloon,Bladel,145,0.1379310344827586,16.0,15.0,0.621034328412921
BU07726320,Meerbos,Eindhoven,45,0.3333333333333333,62.0,34.0,0.620822842649061
BU07700007,Stokkelen en Hoogstraat,Eersel,400,0.2125,40.0,12.0,0.6205564258938063
BU07430601,Ostade,Asten,1310,0.3358778625954198,70.0,23.0,0.619935546090034
BU08580105,Keersopperbeemden,Valkenswaard,1090,0.2477064220183486,49.0,15.0,0.6198932888879078
BU07531801,Steegsche Velden,Best,605,0.0495867768595041,0.0,0.0,0.6198347107438017
BU17280204,Hapert Zuid-West,Bladel,1800,0.2444444444444444,41.0,27.0,0.6196739339910604
BU08470005,Waterdael III,Someren,1500,0.0466666666666666,0.0,0.0,0.6186666666666667
BU07620103,Houtenhoek,Deurne,1130,0.1946902654867256,31.0,21.0,0.618342172327964
BU07430602,Centrum west,Asten,1070,0.3317757009345794,70.0,23.0,0.6182946814256978
BU07620201,Heiakker-West,Deurne,2270,0.1938325991189427,31.0,21.0,0.6179991057808507
BU17240203,Dorpstraat-Sengelsbroeksestraat,Bergeijk,200,0.2,39.0,12.0,0.616921613607117
BU17710000,Centrum,Geldrop-Mierlo,2845,0.3321616871704745,67.0,31.0,0.6159872620108072
BU08230001,Oirschot Noordoost,Oirschot,220,0.2272727272727272,40.0,25.0,0.6158097790979791
BU07700004,Kortkruis,Eersel,760,0.2236842105263158,45.0,16.0,0.6149254830131896
BU08200002,Nuenen-Oost,"Nuenen, Gerwen en Nederwetten",6065,0.2283594394064303,43.0,22.0,0.6146079172049713
BU16520408,Verspreide huizen Milschot-Tereyken,Gemert-Bakel,310,0.1129032258064516,18.0,8.0,0.61403053443381
BU07700002,Eersel-Zuid,Eersel,1870,0.2272727272727272,47.0,16.0,0.613630514285133
BU17280003,Bladel Wilhelminalaan,Bladel,2445,0.2290388548057259,41.0,27.0,0.613511698135573
BU17240003,Jeruzalem,Bergeijk,1115,0.3318385650224215,69.0,31.0,0.6131276377249648
BU08580003,Turfberg-Zuid,Valkenswaard,2100,0.2976190476190476,53.0,41.0,0.6130861128651092
BU08480101,'t Eigen en Hoogstraat,Son en Breugel,3480,0.1853448275862069,35.0,17.0,0.6124219348391043
BU16520008,Verspreide huizen Broekkant,Gemert-Bakel,380,0.2105263157894736,40.0,21.0,0.6123899030292679
BU07430502,Centrum zuid,Asten,1885,0.3448275862068966,76.0,27.0,0.612045620730171
BU17240013,Hagelkruis e.o.,Bergeijk,1060,0.3254716981132075,69.0,31.0,0.6105808909612792
BU08610201,Zandoerle,Veldhoven,115,0.217391304347826,41.0,25.0,0.6104920222147081
BU08230009,Verspreide huizen Noord en De Mortelen,Oirschot,610,0.1967213114754098,37.0,23.0,0.6093241201812791
BU08660001,Aalst,Waalre,3850,0.2688311688311688,47.0,42.0,0.6089424154986736
BU07722399,Riel,Eindhoven,110,0.3181818181818182,63.0,40.0,0.6084790160882592
BU17710113,Luchen,Geldrop-Mierlo,1710,0.1169590643274853,22.0,11.0,0.6077331025955384
BU17240206,Dorpstraat,Bergeijk,195,0.1538461538461538,34.0,10.0,0.6069253579744265
BU17240402,Dorpsstraat e.o.,Bergeijk,200,0.275,57.0,31.0,0.6067744642757232
BU07620100,De Vennen,Deurne,1480,0.1081081081081081,19.0,13.0,0.6066489389854243
BU16590002,Bedrijventerrein Beekerheide,Laarbeek,155,0.2258064516129032,45.0,28.0,0.6059383138740541
BU16520308,Verspreide huizen Verreheide,Gemert-Bakel,215,0.1162790697674418,20.0,17.0,0.6052734474112569
BU16580021,De Bulders West,Heeze-Leende,380,0.0263157894736842,4.0,0.0,0.6050655649362313
BU07941709,Geeneind,Helmond,370,0.2027027027027027,41.0,25.0,0.6046165815566589
BU17240011,Eerselsedijk-Woonbos e.o.,Bergeijk,380,0.3026315789473684,67.0,31.0,0.6041752187215648
BU17280005,Bladel Heeleind,Bladel,1720,0.2848837209302325,60.0,38.0,0.6008946845898517
BU07700010,Kerkebogten,Eersel,1240,0.2056451612903226,50.0,16.0,0.6008839247522394
BU08660009,Verspreide huizen,Waalre,555,0.1711711711711711,32.0,30.0,0.6001922977081037
BU08470704,Boksenberg,Someren,0,,0.0,0.0,0.6000000000000001
BU08470203,Goede Vaart,Someren,60,0.0,0.0,0.0,0.6000000000000001
BU08470702,Somerense Heide,Someren,5,0.0,0.0,0.0,0.6000000000000001
BU07531201,Heide,Best,0,,0.0,0.0,0.6000000000000001
BU17240002,Kleine Broekstraat,Bergeijk,145,0.3103448275862069,71.0,34.0,0.5993407509304152
BU16590009,Verspreide huizen Beek en Donk,Laarbeek,1265,0.1304347826086956,27.0,20.0,0.5989204021611417
BU17280203,Hapert Noord,Bladel,865,0.1907514450867052,41.0,27.0,0.5981967342479648
BU07700003,De Dijken,Eersel,1710,0.1812865497076023,45.0,16.0,0.5979664186857041
BU08480003,'t Zand,Son en Breugel,1120,0.1919642857142857,43.0,25.0,0.5975908393346708
BU17280207,Hapert Het Vennenbos,Bladel,0,,2.0,0.0,0.5972696245733788
BU07430901,De Groote Peel,Asten,0,,2.0,0.0,0.5972696245733788
BU08580102,Schepelweijen,Valkenswaard,2395,0.2442588726513569,59.0,25.0,0.59666567069653
BU17060201,Industrieterrein Dorplein,Cranendonck,0,,2.0,1.0,0.5964499524422313
BU08610009,Verspreide huizen ten zuiden van de E3-weg,Veldhoven,600,0.1166666666666666,26.0,18.0,0.5964176877599359
BU17240407,Steenovens,Bergeijk,230,0.217391304347826,55.0,19.0,0.5962974270152452
BU07620112,Bedrijventerrein Kranenmortel,Deurne,45,0.1111111111111111,26.0,16.0,0.5958348098000088
BU17240408,Aan de Heerstraat e.o.,Bergeijk,315,0.2222222222222222,57.0,19.0,0.5954994187383826
