Wogem_DANS24,life_stage,n_trips_unweighted,weighted_trips,cycling_share,car_share,utilitarian_trip_share,leisure_social_trip_share,avg_dist_km,gemeente,n_buurten,population,pop_weighted_total_access,pop_weighted_utilitarian_access,pop_weighted_leisure_social_access,share_high_density,share_vinex_like,elderly_share,family_hh_share,dominant_type,municipality_name
779,Young Adult (18-29),11,10.570327242400973,0.0,0.6063862593929932,0.7616371620962233,0.19445457206987413,0.8582440747493163,Geertruidenberg,11.0,21940.0,71.32862351868732,44.74726526891522,26.581358249772105,0.0,0.1818181818181818,0.2308568824065633,0.350410840554437,Mixed gemeente,Geertruidenberg
784,Child/Teen (<18),13,13.960432445098785,0.40939163291315833,0.5141480992814228,0.36965707381318885,0.5538826583813923,,Gilze en Rijen,26.0,28525.0,63.363540753724806,42.03575810692375,21.32778264680105,0.0769230769230769,0.1538461538461538,0.218054338299737,0.3334928330700583,Mixed gemeente,Gilze en Rijen
784,Family w/ Kids,38,46.220410408856964,0.06865986740968995,0.4733259390569354,0.44140922064653537,0.29400375478039303,,Gilze en Rijen,26.0,28525.0,63.363540753724806,42.03575810692375,21.32778264680105,0.0769230769230769,0.1538461538461538,0.218054338299737,0.3334928330700583,Mixed gemeente,Gilze en Rijen
784,Mid-life No Kids (30-54),4,4.868007570110608,0.0,0.7799717912552891,0.0,0.7640196105023327,,Gilze en Rijen,26.0,28525.0,63.363540753724806,42.03575810692375,21.32778264680105,0.0769230769230769,0.1538461538461538,0.218054338299737,0.3334928330700583,Mixed gemeente,Gilze en Rijen
784,Older Adult (55-69),33,28.32242798075304,0.2797402806283894,0.16184995856657844,0.4033904893106434,0.5966095106893565,,Gilze en Rijen,26.0,28525.0,63.363540753724806,42.03575810692375,21.32778264680105,0.0769230769230769,0.1538461538461538,0.218054338299737,0.3334928330700583,Mixed gemeente,Gilze en Rijen
784,Senior (70+),18,17.061793484717168,0.4982800383847452,0.10759723877478372,0.30255556501416214,0.5799230757324833,,Gilze en Rijen,26.0,28525.0,63.363540753724806,42.03575810692375,21.32778264680105,0.0769230769230769,0.1538461538461538,0.218054338299737,0.3334928330700583,Mixed gemeente,Gilze en Rijen
784,Young Adult (18-29),25,26.764493577742076,0.11277841483189428,0.34913189856892535,0.3236298291793945,0.5821963741668407,,Gilze en Rijen,26.0,28525.0,63.363540753724806,42.03575810692375,21.32778264680105,0.0769230769230769,0.1538461538461538,0.218054338299737,0.3334928330700583,Mixed gemeente,Gilze en Rijen
785,Child/Teen (<18),14,15.673892084538199,0.4351039616028373,0.18115449477098755,0.3986243403515072,0.37621458774173955,,Goirle,31.0,24470.0,154.69942787086228,112.6853289742542,42.01409889660809,0.064516129032258,0.1612903225806451,0.2507151614221495,0.36759803433954,Mixed gemeente,Goirle
785,Family w/ Kids,29,26.806448915851085,0.5260927909919954,0.21521030467833893,0.5815228283252433,0.25501653012904235,,Goirle,31.0,24470.0,154.69942787086228,112.6853289742542,42.01409889660809,0.064516129032258,0.1612903225806451,0.2507151614221495,0.36759803433954,Mixed gemeente,Goirle
785,Mid-life No Kids (30-54),21,22.296620221344806,0.25473175955718036,0.3369873001768582,0.35554210587277746,0.4865346884515831,,Goirle,31.0,24470.0,154.69942787086228,112.6853289742542,42.01409889660809,0.064516129032258,0.1612903225806451,0.2507151614221495,0.36759803433954,Mixed gemeente,Goirle
785,Older Adult (55-69),68,58.69468494728541,0.24411235277292023,0.4113652466672724,0.49826207466957395,0.36510093312523345,,Goirle,31.0,24470.0,154.69942787086228,112.6853289742542,42.01409889660809,0.064516129032258,0.1612903225806451,0.2507151614221495,0.36759803433954,Mixed gemeente,Goirle
785,Senior (70+),29,25.229020946736494,0.369922902067069,0.2624121445880729,0.5385023261446734,0.33365271013593184,,Goirle,31.0,24470.0,154.69942787086228,112.6853289742542,42.01409889660809,0.064516129032258,0.1612903225806451,0.2507151614221495,0.36759803433954,Mixed gemeente,Goirle
785,Young Adult (18-29),13,11.965408253940058,0.0,0.7624954652858146,0.4750090694283709,0.46230773156699034,,Goirle,31.0,24470.0,154.69942787086228,112.6853289742542,42.01409889660809,0.064516129032258,0.1612903225806451,0.2507151614221495,0.36759803433954,Mixed gemeente,Goirle
794,Child/Teen (<18),76,86.55564806118664,0.5247364150793091,0.2225303165121477,0.5645478123800759,0.3893554517313421,,Helmond,44.0,96530.0,174.0263130632964,106.05702890293172,67.96928416036465,0.2954545454545454,0.0909090909090909,0.1850719983424842,0.3669420942305678,Mixed gemeente,Helmond
794,Family w/ Kids,85,97.89442176895388,0.2824511458418423,0.448789171861819,0.5355823363049664,0.24375820916685273,,Helmond,44.0,96530.0,174.0263130632964,106.05702890293172,67.96928416036465,0.2954545454545454,0.0909090909090909,0.1850719983424842,0.3669420942305678,Mixed gemeente,Helmond
794,Mid-life No Kids (30-54),48,41.70620026146299,0.10918747422718435,0.42606437821538323,0.3367744799664148,0.5161681617272341,,Helmond,44.0,96530.0,174.0263130632964,106.05702890293172,67.96928416036465,0.2954545454545454,0.0909090909090909,0.1850719983424842,0.3669420942305678,Mixed gemeente,Helmond
794,Older Adult (55-69),85,88.54366643597837,0.3564138783323088,0.4263958824321394,0.5540334760478515,0.35508072014693054,,Helmond,44.0,96530.0,174.0263130632964,106.05702890293172,67.96928416036465,0.2954545454545454,0.0909090909090909,0.1850719983424842,0.3669420942305678,Mixed gemeente,Helmond
794,Senior (70+),67,52.380043535369985,0.16216318877548067,0.44940886366726,0.6416483511256508,0.27053064941268223,,Helmond,44.0,96530.0,174.0263130632964,106.05702890293172,67.96928416036465,0.2954545454545454,0.0909090909090909,0.1850719983424842,0.3669420942305678,Mixed gemeente,Helmond
794,Young Adult (18-29),57,58.86961502743468,0.24645331824273728,0.2793584611580547,0.3004713265952212,0.6192712998768574,,Helmond,44.0,96530.0,174.0263130632964,106.05702890293172,67.96928416036465,0.2954545454545454,0.0909090909090909,0.1850719983424842,0.3669420942305678,Mixed gemeente,Helmond
796,Child/Teen (<18),125,128.26599091183817,0.5864356205031865,0.2165792853272489,0.5924187234396201,0.3323480211375971,,'s-Hertogenbosch,110.0,161535.0,189.8174698981645,116.81326028414895,73.00420961401554,0.3181818181818182,0.1,0.1975113752437552,0.3194618809205762,Mixed gemeente,'s-Hertogenbosch
796,Family w/ Kids,216,218.72311472611034,0.2356212969607858,0.4286152282000126,0.37491791496418975,0.29314032732323375,,'s-Hertogenbosch,110.0,161535.0,189.8174698981645,116.81326028414895,73.00420961401554,0.3181818181818182,0.1,0.1975113752437552,0.3194618809205762,Mixed gemeente,'s-Hertogenbosch
796,Mid-life No Kids (30-54),152,146.44958048482079,0.15747506909067632,0.24220888656777173,0.5270231830465083,0.35874532098172435,,'s-Hertogenbosch,110.0,161535.0,189.8174698981645,116.81326028414895,73.00420961401554,0.3181818181818182,0.1,0.1975113752437552,0.3194618809205762,Mixed gemeente,'s-Hertogenbosch
796,Older Adult (55-69),190,189.78476963179523,0.27136987533943163,0.30737121542380424,0.4571588675653892,0.3527594660060685,,'s-Hertogenbosch,110.0,161535.0,189.8174698981645,116.81326028414895,73.00420961401554,0.3181818181818182,0.1,0.1975113752437552,0.3194618809205762,Mixed gemeente,'s-Hertogenbosch
796,Senior (70+),108,83.90807133753763,0.15882583924206115,0.3603617966448992,0.3661725592499911,0.5380789923806041,,'s-Hertogenbosch,110.0,161535.0,189.8174698981645,116.81326028414895,73.00420961401554,0.3181818181818182,0.1,0.1975113752437552,0.3194618809205762,Mixed gemeente,'s-Hertogenbosch
796,Young Adult (18-29),108,95.7180237250418,0.4288495088863889,0.21983461608103233,0.5488708834152387,0.36594622518723335,,'s-Hertogenbosch,110.0,161535.0,189.8174698981645,116.81326028414895,73.00420961401554,0.3181818181818182,0.1,0.1975113752437552,0.3194618809205762,Mixed gemeente,'s-Hertogenbosch
797,Child/Teen (<18),17,18.151286599747895,0.49765196128937816,0.2927971737385524,0.2895400538721332,0.7104599461278668,0.8949153456270894,Heusden,17.0,46365.0,63.67766634314677,38.805456702253856,24.872209640892915,0.0588235294117647,0.2941176470588235,0.2240914482907365,0.3597410724021832,Mixed gemeente,Heusden
797,Family w/ Kids,21,21.960937461335504,0.3921501576950407,0.4167094739903702,0.36669235732384764,0.3387961365560515,0.8949153456270894,Heusden,17.0,46365.0,63.67766634314677,38.805456702253856,24.872209640892915,0.0588235294117647,0.2941176470588235,0.2240914482907365,0.3597410724021832,Mixed gemeente,Heusden
797,Mid-life No Kids (30-54),21,24.330803384907107,0.19636803455254698,0.6756808366524539,0.7023197270582137,0.25502989667678644,0.8949153456270894,Heusden,17.0,46365.0,63.67766634314677,38.805456702253856,24.872209640892915,0.0588235294117647,0.2941176470588235,0.2240914482907365,0.3597410724021832,Mixed gemeente,Heusden
797,Older Adult (55-69),51,51.51804031427287,0.17885108474881278,0.4322339691832422,0.379715457012208,0.5059528473044713,0.8949153456270894,Heusden,17.0,46365.0,63.67766634314677,38.805456702253856,24.872209640892915,0.0588235294117647,0.2941176470588235,0.2240914482907365,0.3597410724021832,Mixed gemeente,Heusden
797,Senior (70+),49,36.6792911625862,0.4712506700935019,0.26775811186025006,0.3455114068734324,0.5786817930157064,0.8949153456270895,Heusden,17.0,46365.0,63.67766634314677,38.805456702253856,24.872209640892915,0.0588235294117647,0.2941176470588235,0.2240914482907365,0.3597410724021832,Mixed gemeente,Heusden
797,Young Adult (18-29),16,18.82942205400463,0.539075761181549,0.250889803710682,0.32253384891766296,0.6365428501680558,0.8949153456270894,Heusden,17.0,46365.0,63.67766634314677,38.805456702253856,24.872209640892915,0.0588235294117647,0.2941176470588235,0.2240914482907365,0.3597410724021832,Mixed gemeente,Heusden
798,Child/Teen (<18),2,1.7411135218161353,1.0,0.0,0.0,1.0,1.0617688022284122,Hilvarenbeek,11.0,16155.0,25.9124110182606,13.556174558960077,12.356236459300526,0.0,0.6363636363636364,0.2494583720210461,0.3448245432873753,VINEX-like gemeente,Hilvarenbeek
798,Family w/ Kids,18,20.28488036648765,0.6804575944589527,0.2284596481120179,0.7536677756759914,0.20079084560949398,1.0617688022284122,Hilvarenbeek,11.0,16155.0,25.9124110182606,13.556174558960077,12.356236459300526,0.0,0.6363636363636364,0.2494583720210461,0.3448245432873753,VINEX-like gemeente,Hilvarenbeek
798,Mid-life No Kids (30-54),6,6.177510915207851,0.7858380456577818,0.0,0.5474952876755516,0.4525047123244484,1.0617688022284122,Hilvarenbeek,11.0,16155.0,25.9124110182606,13.556174558960077,12.356236459300526,0.0,0.6363636363636364,0.2494583720210461,0.3448245432873753,VINEX-like gemeente,Hilvarenbeek
798,Older Adult (55-69),16,14.91097997947077,0.30762981083205115,0.3836334857155508,0.3569108840751359,0.5638311767375447,1.0617688022284122,Hilvarenbeek,11.0,16155.0,25.9124110182606,13.556174558960077,12.356236459300526,0.0,0.6363636363636364,0.2494583720210461,0.3448245432873753,VINEX-like gemeente,Hilvarenbeek
798,Senior (70+),16,11.32831264863853,0.23037753373763867,0.677471452767306,0.7724693583929775,0.08930412136443935,1.0617688022284122,Hilvarenbeek,11.0,16155.0,25.9124110182606,13.556174558960077,12.356236459300526,0.0,0.6363636363636364,0.2494583720210461,0.3448245432873753,VINEX-like gemeente,Hilvarenbeek
798,Young Adult (18-29),9,10.217511237252644,0.20459050077456015,0.46873248355170166,0.20459050077456015,0.5882958222210735,1.0617688022284122,Hilvarenbeek,11.0,16155.0,25.9124110182606,13.556174558960077,12.356236459300526,0.0,0.6363636363636364,0.2494583720210461,0.3448245432873753,VINEX-like gemeente,Hilvarenbeek
809,Child/Teen (<18),25,29.071302707747414,0.3398121585416881,0.2238229251058404,0.7048522776756168,0.29514772232438335,,Loon op Zand,32.0,24130.0,113.77476170741816,71.39888106092002,42.37588064649813,0.0625,0.15625,0.2434728553667633,0.3519712389592357,Mixed gemeente,Loon op Zand
809,Family w/ Kids,19,18.99010505721477,0.0,0.6069311310759733,0.2687881819295884,0.5805978217885462,,Loon op Zand,32.0,24130.0,113.77476170741816,71.39888106092002,42.37588064649813,0.0625,0.15625,0.2434728553667633,0.3519712389592357,Mixed gemeente,Loon op Zand
809,Mid-life No Kids (30-54),14,17.74165316595907,0.0,0.08446971934595143,0.491231334345177,0.508768665654823,,Loon op Zand,32.0,24130.0,113.77476170741816,71.39888106092002,42.37588064649813,0.0625,0.15625,0.2434728553667633,0.3519712389592357,Mixed gemeente,Loon op Zand
809,Older Adult (55-69),12,14.426339707809223,0.0,0.32998175768090876,0.37645076204156097,0.48152343099752715,,Loon op Zand,32.0,24130.0,113.77476170741816,71.39888106092002,42.37588064649813,0.0625,0.15625,0.2434728553667633,0.3519712389592357,Mixed gemeente,Loon op Zand
809,Senior (70+),22,14.736490666139398,0.23805577146645934,0.49652968333150393,0.3596630147235058,0.5567895454820363,,Loon op Zand,32.0,24130.0,113.77476170741816,71.39888106092002,42.37588064649813,0.0625,0.15625,0.2434728553667633,0.3519712389592357,Mixed gemeente,Loon op Zand
809,Young Adult (18-29),18,17.327001726418377,0.10174102518306843,0.10434863368458656,0.18001023992379597,0.8199897600762044,,Loon op Zand,32.0,24130.0,113.77476170741816,71.39888106092002,42.37588064649813,0.0625,0.15625,0.2434728553667633,0.3519712389592357,Mixed gemeente,Loon op Zand
820,Child/Teen (<18),37,41.92519199371527,0.4679930327593766,0.3800061295025715,0.7782047171187323,0.22179528288126776,0.9660148209139565,"Nuenen, Gerwen en Nederwetten",10.0,24290.0,63.65561959654179,42.53581720872787,21.11980238781392,0.0,0.4,0.2731576780568135,0.3498366228289796,Mixed gemeente,"Nuenen, Gerwen en Nederwetten"
